iter	Passed	Remaining
369	2968	5055
370	2976	5046
371	2984	5038
372	2991	5029
373	2999	5020
374	3007	5012
375	3014	5002
376	3023	4997
377	3036	4995
378	3047	4992
379	3057	4989
380	3070	4988
381	3080	4983
382	3091	4979
383	3099	4972
384	3109	4967
385	3118	4960
386	3127	4954
387	3136	4947
388	3145	4940
389	3153	4933
390	3162	4925
391	3173	4921
392	3181	4914
393	3192	4909
394	3201	4903
395	3211	4898
396	3220	4890
397	3229	4885
398	3242	4883
399	3252	4879
400	3262	4873
401	3272	4868
402	3280	4859
403	3289	4852
404	3296	4842
405	3304	4834
406	3312	4826
407	3320	4817
408	3328	4810
409	3336	4801
410	3343	4791
411	3352	4785
412	3361	4777
413	3369	4769
414	3377	4760
415	3384	4751
416	3393	4744
417	3401	4735
418	3409	4727
419	3417	4718
420	3424	4709
421	3433	4702
422	3440	4693
423	3449	4685
424	3457	4677
425	3465	4668
426	3473	4660
427	3480	4652
428	3489	4644
429	3496	4635
430	3505	4627
431	3514	4621
432	3522	4612
433	3531	4605
434	3539	4596
435	3546	4588
436	3554	4579
437	3562	4571
438	3571	4563
439	3578	4554
440	3586	4545
441	3594	4537
442	3602	4528
443	3610	4521
444	3618	4512
445	3625	4503
446	3634	4495
447	3641	4487
448	3650	4479
449	3658	4471
450	3666	4463
451	3675	4456
452	3683	4447
453	3691	4440
454	3699	4431
455	3706	4421
456	3714	4413
457	3721	4404
458	3730	4396
459	3737	4387
460	3745	4378
461	3753	4370
462	3761	4362
463	3768	4352
464	3775	4344
465	3782	4334
466	3791	4326
467	3798	4317
468	3805	4308
469	3813	4300
470	3820	4291
471	3828	4283
472	3837	4275
473	3844	4266
474	3852	4258
475	3860	4249
476	3867	4240
477	3875	4232
478	3883	4223
479	3891	4216
480	3899	4207
481	3906	4198
482	3914	4190
483	3921	4181
484	3929	4172
485	3937	4164
486	3944	4155
487	3953	4147
488	3960	4139
489	3968	4130
490	3976	4122
491	3983	4113
492	3992	4105
493	4000	4097
494	4007	4088
495	4016	4080
496	4023	4072
497	4031	4063
498	4040	4056
499	4047	4047
500	4056	4040
501	4063	4031
502	4071	4022
503	4078	4014
504	4086	4005
505	4094	3997
506	4102	3988
507	4109	3980
508	4118	3972
509	4125	3964
510	4136	3958
511	4144	3950
512	4152	3942
513	4160	3933
514	4167	3924
515	4175	3916
516	4182	3907
517	4189	3898
518	4197	3890
519	4205	3881
520	4212	3873
521	4220	3864
522	4227	3855
523	4235	3847
524	4243	3839
525	4250	3830
526	4259	3822
527	4266	3813
528	4274	3805
529	4282	3797
530	4290	3789
531	4298	3781
532	4305	3772
533	4313	3764
534	4320	3755
535	4327	3746
536	4337	3739
537	4344	3731
538	4352	3722
539	4360	3714
540	4368	3706
541	4376	3698
542	4383	3689
543	4391	3680
544	4399	3673
545	4407	3664
546	4415	3656
547	4422	3647
548	4430	3639
549	4439	3632
550	4447	3624
551	4455	3615
552	4463	3607
553	4471	3599
554	4479	3591
555	4487	3583
556	4496	3576
557	4504	3567
558	4511	3559
559	4520	3551
560	4528	3543
561	4538	3537
562	4546	3528
563	4553	3520
564	4562	3512
565	4569	3503
566	4578	3496
567	4585	3487
568	4593	3479
569	4601	3471
570	4609	3463
571	4618	3455
572	4626	3447
573	4633	3439
574	4643	3432
575	4651	3423
576	4659	3416
577	4667	3407
578	4675	3399
579	4683	3391
580	4691	3383
581	4699	3375
582	4707	3366
583	4714	3358
584	4723	3350
585	4730	3342
586	4739	3334
587	4747	3326
588	4755	3318
589	4763	3310
590	4771	3301
591	4779	3294
592	4787	3285
593	4795	3277
594	4804	3270
595	4811	3261
596	4820	3253
597	4827	3245
598	4834	3236
599	4843	3229
600	4850	3220
601	4858	3212
602	4866	3203
603	4873	3195
604	4882	3187
605	4889	3179
606	4896	3170
607	4905	3162
608	4912	3153
609	4921	3146
610	4928	3138
611	4936	3129
612	4944	3121
613	4952	3113
614	4960	3105
615	4967	3096
616	4975	3088
617	4983	3080
618	4990	3071
619	4997	3063
620	5005	3054
621	5012	3046
622	5021	3038
623	5028	3030
624	5036	3021
625	5044	3013
626	5052	3005
627	5061	2997
628	5068	2989
629	5075	2980
630	5083	2972
631	5091	2964
632	5098	2956
633	5106	2948
634	5113	2939
635	5122	2931
636	5130	2923
637	5138	2915
638	5147	2908
639	5155	2899
640	5164	2892
641	5171	2883
642	5179	2875
643	5187	2867
644	5195	2859
645	5203	2851
646	5211	2843
647	5219	2835
648	5227	2827
649	5235	2818
650	5244	2811
651	5252	2803
652	5259	2794
653	5267	2786
654	5275	2778
655	5283	2770
656	5290	2762
657	5298	2754
658	5307	2746
659	5314	2737
660	5322	2729
661	5330	2721
662	5337	2712
663	5346	2705
664	5353	2697
665	5361	2688
666	5368	2680
667	5375	2671
668	5384	2663
669	5391	2655
670	5398	2646
671	5406	2638
672	5413	2630
673	5420	2622
674	5428	2613
675	5435	2605
676	5444	2597
677	5452	2589
678	5459	2581
679	5467	2573
680	5474	2564
681	5482	2556
682	5490	2548
683	5497	2539
684	5506	2532
685	5513	2523
686	5520	2515
687	5528	2506
688	5535	2498
689	5543	2490
690	5551	2482
691	5559	2474
692	5567	2466
693	5575	2458
694	5583	2450
695	5591	2442
696	5599	2434
697	5608	2426
698	5616	2418
699	5624	2410
700	5632	2402
701	5639	2394
702	5649	2386
703	5656	2378
704	5666	2370
705	5673	2362
706	5681	2354
707	5689	2346
708	5698	2338
709	5707	2331
710	5714	2322
711	5722	2314
712	5730	2306
713	5737	2298
714	5746	2290
715	5754	2282
716	5762	2274
717	5770	2266
718	5778	2258
719	5786	2250
720	5793	2241
721	5800	2233
722	5809	2225
723	5816	2217
724	5823	2209
725	5831	2200
726	5839	2192
727	5848	2185
728	5856	2177
729	5864	2169
730	5872	2160
731	5880	2152
732	5889	2145
733	5896	2136
734	5903	2128
735	5912	2120
736	5919	2112
737	5928	2104
738	5936	2096
739	5944	2088
740	5953	2080
741	5961	2072
742	5969	2064
743	5977	2056
744	5986	2048
745	5993	2040
746	6001	2032
747	6009	2024
748	6017	2016
749	6024	2008
750	6032	2000
751	6040	1992
752	6049	1984
753	6057	1976
754	6065	1968
755	6074	1960
756	6082	1952
757	6090	1944
758	6099	1936
759	6107	1928
760	6115	1920
761	6123	1912
762	6132	1904
763	6139	1896
764	6148	1888
765	6156	1880
766	6164	1872
767	6173	1864
768	6180	1856
769	6190	1849
770	6198	1841
771	6206	1832
772	6214	1825
773	6222	1816
774	6232	1809
775	6239	1801
776	6248	1793
777	6256	1785
778	6263	1777
779	6272	1769
780	6280	1761
781	6289	1753
782	6296	1745
783	6304	1736
784	6313	1729
785	6320	1720
786	6329	1713
787	6337	1704
788	6344	1696
789	6353	1689
790	6361	1680
791	6370	1673
792	6378	1664
793	6385	1656
794	6394	1648
795	6402	1640
796	6410	1632
797	6418	1624
798	6425	1616
799	6433	1608
800	6441	1600
801	6448	1592
802	6456	1584
803	6464	1575
804	6472	1567
805	6479	1559
806	6488	1551
807	6495	1543
808	6502	1535
809	6510	1527
810	6517	1518
811	6525	1510
812	6533	1502
813	6540	1494
814	6548	1486
815	6556	1478
816	6563	1470
817	6571	1462
818	6578	1453
819	6586	1445
820	6594	1437
821	6601	1429
822	6608	1421
823	6616	1413
824	6623	1404
825	6631	1396
826	6639	1388
827	6646	1380
828	6655	1372
829	6663	1364
830	6672	1356
831	6679	1348
832	6687	1340
833	6696	1332
834	6703	1324
835	6712	1316
836	6719	1308
837	6727	1300
838	6736	1292
839	6743	1284
840	6752	1276
841	6760	1268
842	6767	1260
843	6776	1252
844	6784	1244
845	6793	1236
846	6801	1228
847	6808	1220
848	6817	1212
849	6824	1204
850	6832	1196
851	6839	1188
852	6847	1179
853	6855	1172
854	6864	1164
855	6871	1156
856	6879	1147
857	6886	1139
858	6895	1131
859	6902	1123
860	6910	1115
861	6918	1107
862	6925	1099
863	6933	1091
864	6941	1083
865	6948	1075
866	6956	1067
867	6964	1059
868	6971	1051
869	6979	1042
870	6986	1034
871	6994	1026
872	7001	1018
873	7008	1010
874	7017	1002
875	7024	994
876	7031	986
877	7041	978
878	7048	970
879	7057	962
880	7064	954
881	7071	946
882	7079	938
883	7086	929
884	7094	921
885	7101	913
886	7109	905
887	7117	897
888	7124	889
889	7132	881
890	7140	873
891	7148	865
892	7156	857
893	7164	849
894	7172	841
895	7180	833
896	7187	825
897	7196	817
898	7203	809
899	7211	801
900	7219	793
901	7227	785
902	7235	777
903	7243	769
904	7251	761
905	7260	753
906	7268	745
907	7277	737
908	7284	729
909	7293	721
910	7301	713
911	7309	705
912	7318	697
913	7325	689
914	7333	681
915	7341	673
916	7349	665
917	7357	657
918	7365	649
919	7373	641
920	7381	633
921	7388	625
922	7397	617
923	7404	609
924	7412	600
925	7420	593
926	7428	584
927	7436	576
928	7444	568
929	7452	560
930	7461	552
931	7468	544
932	7476	536
933	7483	528
934	7490	520
935	7498	512
936	7506	504
937	7513	496
938	7521	488
939	7528	480
940	7535	472
941	7543	464
942	7551	456
943	7559	448
944	7567	440
945	7574	432
946	7582	424
947	7590	416
948	7598	408
949	7605	400
950	7613	392
951	7621	384
952	7628	376
953	7635	368
954	7643	360
955	7650	352
956	7658	344
957	7667	336
958	7674	328
959	7682	320
960	7689	312
961	7699	304
962	7707	296
963	7714	288
964	7722	280
965	7730	272
966	7738	264
967	7746	256
968	7753	248
969	7762	240
970	7770	232
971	7778	224
972	7787	216
973	7795	208
974	7804	200
975	7814	192
976	7824	184
977	7833	176
978	7844	168
979	7853	160
980	7863	152
981	7872	144
982	7882	136
983	7891	128
984	7901	120
985	7910	112
986	7918	104
987	7926	96
988	7935	88
989	7943	80
990	7951	72
991	7958	64
992	7968	56
993	7975	48
994	7984	40
995	7992	32
996	7999	24
997	8008	16
998	8016	8
999	8025	0
