iter	RMSE
193	4.008563467
194	4.006619831
195	4.002465154
196	3.999543342
197	3.990092311
198	3.981318112
199	3.975703277
200	3.966783051
201	3.962025908
202	3.951053579
203	3.943299425
204	3.93616038
205	3.930927826
206	3.925147094
207	3.92029493
208	3.915641926
209	3.908013734
210	3.905309915
211	3.897149493
212	3.89100373
213	3.880930677
214	3.873618282
215	3.869620005
216	3.861125112
217	3.856495157
218	3.848761714
219	3.842046246
220	3.835936963
221	3.824023496
222	3.81360888
223	3.807195985
224	3.802391884
225	3.791708448
226	3.78560765
227	3.783483536
228	3.776736245
229	3.768133125
230	3.758319926
231	3.754888474
232	3.74945595
233	3.740620437
234	3.737656164
235	3.736062166
236	3.728805364
237	3.720046743
238	3.713893091
239	3.706775372
240	3.698368769
241	3.694652196
242	3.690241571
243	3.681293984
244	3.676470041
245	3.668735244
246	3.666499166
247	3.662449741
248	3.660658156
249	3.657311901
250	3.64904729
251	3.641618369
252	3.635622703
253	3.632010372
254	3.628637146
255	3.621552808
256	3.617293745
257	3.614009276
258	3.609194895
259	3.60474077
260	3.595464848
261	3.587218654
262	3.582804348
263	3.57577614
264	3.568652875
265	3.562920087
266	3.557230128
267	3.549290173
268	3.546430301
269	3.536154904
270	3.535232505
271	3.527883531
272	3.520909947
273	3.51670079
274	3.513708114
275	3.510090015
276	3.507669147
277	3.506890413
278	3.505462541
279	3.501923372
280	3.497891406
281	3.497410005
282	3.495557183
283	3.485364244
284	3.477820221
285	3.471704041
286	3.464330654
287	3.454709139
288	3.448175509
289	3.443793078
290	3.441185248
291	3.434038959
292	3.429737712
293	3.424605423
294	3.423296733
295	3.41956954
296	3.413606799
297	3.4057939
298	3.399175323
299	3.397761099
300	3.3969189
301	3.392886507
302	3.38596149
303	3.381146315
304	3.375462556
305	3.371691825
306	3.367409552
307	3.365937083
308	3.361795999
309	3.361115405
310	3.357421096
311	3.352654225
312	3.3518628
313	3.348280634
314	3.341322048
315	3.339703973
316	3.331201974
317	3.329375303
318	3.325588229
319	3.324322019
320	3.315825173
321	3.310954111
322	3.307564274
323	3.303013073
324	3.300888841
325	3.300488657
326	3.299039321
327	3.294030908
328	3.289637714
329	3.284777205
330	3.284377698
331	3.282515324
332	3.282149424
333	3.277471449
334	3.272350876
335	3.268864019
336	3.264344065
337	3.259422167
338	3.256523818
339	3.253932648
340	3.245927647
341	3.240525031
342	3.235303287
343	3.228564789
344	3.225504391
345	3.216863859
346	3.209906957
347	3.209058555
348	3.202195239
349	3.195864924
350	3.193365815
351	3.190091221
352	3.185346454
353	3.17925701
354	3.174415579
355	3.168757855
356	3.167331549
357	3.164117137
358	3.158566881
359	3.155062659
360	3.150651847
361	3.147066595
362	3.1390232
363	3.135938089
364	3.133307153
365	3.127459966
366	3.126021433
367	3.123032305
368	3.118058068
369	3.11217388
370	3.105023566
371	3.104454019
372	3.100662785
373	3.09293732
374	3.090062466
375	3.088402922
376	3.08728695
377	3.084444338
378	3.079160524
379	3.074100016
380	3.071954349
381	3.071144516
382	3.066791978
383	3.064264435
384	3.06295339
385	3.061353881
386	3.056777315
387	3.05638263
388	3.052222147
389	3.051042026
390	3.044561871
391	3.038349621
392	3.033708693
393	3.027795382
394	3.027356011
395	3.02273135
396	3.019526516
397	3.013939351
398	3.009594762
399	3.009261093
400	3.00500236
401	2.998084357
402	2.994656643
403	2.988766577
404	2.986039304
405	2.982106168
406	2.976133667
407	2.973014207
408	2.96918638
409	2.967238835
410	2.962132152
411	2.959154241
412	2.95497507
413	2.95242636
414	2.948939768
415	2.94452641
416	2.938755509
417	2.933741467
418	2.933197805
419	2.925711493
420	2.922521287
421	2.91993247
422	2.919502266
423	2.915174673
424	2.914772551
425	2.909207871
426	2.906478751
427	2.898690965
428	2.895725619
429	2.895328326
430	2.888512688
431	2.882384161
432	2.87740645
433	2.873683867
434	2.868972054
435	2.865200529
436	2.859603375
437	2.856142727
438	2.85002964
439	2.845281575
440	2.839000855
441	2.835756186
442	2.829213284
443	2.827171834
444	2.823987607
445	2.820190325
446	2.817620246
447	2.812027814
448	2.810531231
449	2.806955138
450	2.803638315
451	2.799950725
452	2.794130288
453	2.792319353
454	2.787978417
455	2.784825271
456	2.782576126
457	2.780272316
458	2.775594094
459	2.770822926
460	2.769967336
461	2.767560682
462	2.765082285
463	2.76392886
464	2.763317593
465	2.760535799
466	2.758441204
467	2.755760028
468	2.751111055
469	2.747857935
470	2.745980891
471	2.742444215
472	2.737624195
473	2.735175193
474	2.731570085
475	2.728579031
476	2.723152114
477	2.715865871
478	2.711268661
479	2.710564884
480	2.707340035
481	2.703792784
482	2.701324894
483	2.698244632
484	2.691673791
485	2.68893807
486	2.685482694
487	2.682755652
488	2.6773108
489	2.675703369
490	2.674668572
491	2.672994938
492	2.66806562
493	2.664707022
494	2.660597973
495	2.660008015
496	2.654767964
497	2.654356944
498	2.650961968
499	2.648327619
500	2.640716371
501	2.638223832
502	2.635434691
503	2.633581731
504	2.630465111
505	2.628008883
506	2.625355417
507	2.622712473
508	2.620752174
509	2.614180621
510	2.610617521
511	2.607517078
512	2.604262236
513	2.603646963
514	2.601557346
515	2.59859575
516	2.595097486
517	2.588604941
518	2.585288749
519	2.582625867
520	2.5800908
521	2.578195186
522	2.574774912
523	2.572580591
524	2.569850251
525	2.56843835
526	2.564952585
527	2.562002879
528	2.557697482
529	2.553410934
530	2.552950124
531	2.549628883
532	2.5454798
533	2.539876873
534	2.537441761
535	2.536967152
536	2.533218893
537	2.529929143
538	2.528877421
539	2.524870179
540	2.520935871
541	2.517829085
542	2.514726138
543	2.5125446
544	2.510358017
545	2.507789708
546	2.506366672
547	2.501617954
548	2.499393944
549	2.496538685
550	2.495077595
551	2.494595977
552	2.489008773
553	2.486704686
554	2.483610037
555	2.481452261
556	2.478682292
557	2.476158499
558	2.475208655
559	2.471580014
560	2.468532731
561	2.466949607
562	2.463836715
563	2.459668551
564	2.456421791
565	2.455048187
566	2.450501681
567	2.447504383
568	2.445019108
569	2.44050802
570	2.438086498
571	2.431769875
572	2.42943383
573	2.428018025
574	2.424201438
575	2.420108609
576	2.419252424
577	2.415413499
578	2.413300886
579	2.409762599
580	2.406679291
581	2.40162985
582	2.398556323
583	2.395239203
584	2.392670373
585	2.390669635
586	2.387844247
587	2.383174058
588	2.379701317
589	2.374514098
590	2.372765408
591	2.370905547
592	2.368622486
593	2.366143451
594	2.361714303
595	2.35834863
596	2.356078797
597	2.35099177
598	2.349810704
599	2.347245886
600	2.345480992
601	2.342679391
602	2.339878755
603	2.33789382
604	2.333107217
605	2.328358769
606	2.327660746
607	2.325647719
608	2.323189114
609	2.320335048
610	2.318013493
611	2.31635237
612	2.315408465
613	2.311515184
614	2.310907622
615	2.306144326
616	2.302798712
617	2.302440265
618	2.300745541
619	2.297280615
620	2.295143525
621	2.293393209
622	2.286400512
623	2.282898445
624	2.280634595
625	2.277710559
626	2.274513092
627	2.273861997
628	2.271415387
629	2.268716895
630	2.267474036
631	2.265439177
632	2.264968184
633	2.262085631
634	2.260032616
635	2.256738476
636	2.255065814
637	2.253593498
638	2.248112154
639	2.246382696
640	2.2452825
641	2.243249554
642	2.23811761
643	2.232794638
644	2.230806848
645	2.228043155
646	2.226257613
647	2.221119994
648	2.218736612
649	2.217044093
650	2.215845358
651	2.212699888
652	2.208315411
653	2.206314646
654	2.204760135
655	2.203706393
656	2.203140962
657	2.201433722
658	2.198552776
659	2.196416538
660	2.195947527
661	2.194014685
662	2.192408678
663	2.189404889
664	2.188079873
665	2.186249943
666	2.183344063
667	2.180360124
668	2.178744367
669	2.177182625
670	2.176896492
671	2.173427741
672	2.172901684
673	2.17163469
674	2.170825689
675	2.170046044
676	2.165432247
677	2.162572871
678	2.16179122
679	2.158957711
680	2.15635462
681	2.155960583
682	2.152995077
683	2.150502306
684	2.1459901
685	2.143658823
686	2.141830053
687	2.138672215
688	2.137664543
689	2.133852271
690	2.132606693
691	2.130275406
692	2.12698561
693	2.124001818
694	2.122366255
695	2.11971825
696	2.114863176
697	2.114637078
698	2.112060405
699	2.108056654
700	2.104664541
701	2.101776934
702	2.09905542
703	2.097533565
704	2.095340132
705	2.093502825
706	2.091810909
707	2.089113093
708	2.086992797
709	2.084915659
710	2.081073068
711	2.080748025
712	2.079506612
713	2.077656109
714	2.076504402
715	2.075175887
716	2.074916069
717	2.073018578
718	2.071843502
719	2.070055629
720	2.067750863
721	2.06522779
722	2.061500734
723	2.060379728
724	2.05734729
725	2.055899132
726	2.054366539
727	2.051305248
728	2.049226179
729	2.046723185
730	2.043248015
731	2.039504131
732	2.035753968
733	2.033803838
734	2.033306255
735	2.031820313
736	2.029708543
737	2.026356282
738	2.022339383
739	2.018566647
740	2.015699256
741	2.010910809
742	2.008831714
743	2.004506363
744	2.002877311
745	2.000715875
746	1.998201645
747	1.99480043
748	1.990998614
749	1.988771621
750	1.986585176
751	1.982386921
752	1.980094733
753	1.977864767
754	1.975280303
755	1.973143296
756	1.971038706
757	1.969303252
758	1.967156311
759	1.965708119
760	1.96056941
761	1.958452579
762	1.956845392
763	1.955237544
764	1.953172081
765	1.951374942
766	1.948642958
767	1.947486977
768	1.945857048
769	1.944959015
770	1.943205025
771	1.938293545
772	1.935603523
773	1.933841867
774	1.931575761
775	1.929305015
776	1.928396635
777	1.926250719
778	1.924271229
779	1.921052098
780	1.918417684
781	1.915924428
782	1.913394939
783	1.910700044
784	1.908916757
785	1.907201318
786	1.904833208
787	1.901664715
788	1.898925488
789	1.89879926
790	1.898528723
791	1.897001156
792	1.894242031
793	1.89212857
794	1.890565978
795	1.886386877
796	1.884431672
797	1.882909483
798	1.881684307
799	1.879885844
800	1.877053661
801	1.874468588
802	1.874261789
803	1.871543984
804	1.869573827
805	1.868137599
806	1.866559066
807	1.866456439
808	1.863356903
809	1.860621997
810	1.858235998
811	1.855299751
812	1.85108023
813	1.848580804
814	1.84605784
815	1.845546016
816	1.843718366
817	1.841868175
818	1.839646991
819	1.83773905
820	1.835599393
821	1.834135063
822	1.832697754
823	1.831750366
824	1.829842781
825	1.829669956
826	1.826917514
827	1.825191331
828	1.821919609
829	1.820109849
830	1.818036213
831	1.815785039
832	1.813689894
833	1.811747402
834	1.810140678
835	1.807985617
836	1.805944476
837	1.804517283
838	1.801777499
839	1.799674609
840	1.797170938
841	1.795126225
842	1.792538814
843	1.790831671
844	1.788343753
845	1.785752384
846	1.784276329
847	1.782615822
848	1.780208052
849	1.778991115
850	1.776922892
851	1.774568236
852	1.772723537
853	1.770354044
854	1.76998568
855	1.767755766
856	1.76716528
857	1.764966487
858	1.762786596
859	1.760974351
860	1.758508194
861	1.757096925
862	1.755930802
863	1.754094948
864	1.752603628
865	1.751755165
866	1.74997462
867	1.746446586
868	1.743993855
869	1.740624271
870	1.738179997
871	1.736720023
872	1.735156081
873	1.733988046
874	1.731988815
875	1.730237455
876	1.727482559
877	1.725088039
878	1.722677435
879	1.720486854
880	1.719208977
881	1.716674474
882	1.715440364
883	1.713563468
884	1.711278435
885	1.710035511
886	1.708755996
887	1.707379441
888	1.705948721
889	1.704496508
890	1.701793103
891	1.700210522
892	1.698921789
893	1.696705842
894	1.695520879
895	1.692849978
896	1.691290441
897	1.690705143
898	1.689559712
899	1.687114353
900	1.685187694
901	1.684640702
902	1.683190976
903	1.681554775
904	1.678667073
905	1.676439326
906	1.674572274
907	1.672255092
908	1.670666643
909	1.667771209
910	1.666116309
911	1.663565737
912	1.662217803
913	1.660995432
914	1.659418432
915	1.656755163
916	1.654703453
917	1.652645096
918	1.651023548
919	1.649729695
920	1.649035845
921	1.647458684
922	1.64467399
923	1.642437748
924	1.640145741
925	1.636924797
926	1.63456521
927	1.63247993
928	1.630876575
929	1.629279385
930	1.627995932
931	1.625880778
932	1.623340587
933	1.62113842
934	1.62090023
935	1.619031514
936	1.617566952
937	1.616943317
938	1.616151655
939	1.614764004
940	1.613088066
941	1.6120806
942	1.61036379
943	1.608833547
944	1.606411611
945	1.605050011
946	1.603069153
947	1.600692636
948	1.600118866
949	1.597280056
950	1.594564162
951	1.592398663
952	1.591682093
953	1.589748915
954	1.589092056
955	1.587700476
956	1.585648351
957	1.584244005
958	1.583744802
959	1.582541066
960	1.582167405
961	1.580160388
962	1.577858626
963	1.576838948
964	1.5754199
965	1.574141185
966	1.5722813
967	1.570947979
968	1.5691647
969	1.567974675
970	1.566872912
971	1.565241195
972	1.563198407
973	1.562864333
974	1.561144562
975	1.559005471
976	1.556784436
977	1.555163626
978	1.553714426
979	1.552176877
980	1.551429161
981	1.549978923
982	1.547265474
983	1.545515744
984	1.542764769
985	1.540733532
986	1.539505178
987	1.538167343
988	1.535729276
989	1.534554074
990	1.533740943
991	1.531291892
992	1.529820007
993	1.528628332
994	1.527350223
995	1.524700658
996	1.5237208
997	1.522486042
998	1.520815448
999	1.518738606
